id,variant,step_text,injected_value
6,original,$80 + $10*4 = $100,101.0
6,lexical,$80 + $10 = $90,91.0
9,original,16 cm * 1.25,21.0
9,lexical,1 + 0.25,2.25
9,syntactic,(1 + 0.25),2.25
13,original,sum = 5k,6.0
13,syntactic,4 * 90,361.0
13,contextual,90 * 4,361.0
16,original,(2/3) * $60,41.0
16,lexical,$60 * (3/2),91.0
16,syntactic,(2/3) * $60,41.0
17,lexical,5 + 8 + 7,17.0
19,contextual,120 / 60,3.0
20,original,(1/4) * 40,11.0
20,syntactic,Number of kids tubing = 40 * (1/4),11.0
20,contextual,40 / 4,11.0
28,original,200 * 0.4,81.0
28,lexical,Number of rotten apples = 200 * 0.4,81.0
28,syntactic,Rotten apples = 200 * 0.4,81.0
28,contextual,200 * 0.4,81.0
29,lexical,4 * 30,121.0
29,contextual,30 minutes / 60 minutes,1.5
31,contextual,$3/person * 50 people = $150,151.0
33,original,Total number of eggs = 20 * 3,61.0
33,syntactic,= 20 * 3,61.0
35,syntactic,360 * (1/4),91.0
38,original,$10.00 * 20,201.0
38,lexical,$10 * 20,201.0
38,syntactic,Total cost = $10 * 20,201.0
38,contextual,$25 * 20,501.0
39,original,10 * $4,41.0
39,lexical,10 * $4,41.0
39,syntactic,Cost of ice cream cartons = $4 * 10,41.0
41,original,Number of artichokes = $15 / $1.25/artichoke,13.0
41,lexical,Number of artichokes = $15 / $1.25,13.0
41,contextual,Number of artichokes = $15 / $1.25,13.0
45,original,3 * 20,61.0
45,lexical,20 ounces/fill * 3 fills/day,61.0
49,original,€20 + €25 + €30,76.0
49,lexical,€20 (from grandma) + €25 (from aunt) + €30 (from uncle) + €125 (savings),181.0
50,original,0.6 * 2,2.2
50,lexical,= $1200 * 0.6,721.0
53,syntactic,200 + 40,241.0
55,original,30 mph * 0.5,16.0
55,contextual,60 miles + 72 miles,133.0
56,syntactic,Number of goats = 3 * 23,70.0
56,contextual,Total legs for goats = 69 * 4,277.0
59,original,60 minutes * (1 minute / 60 seconds) * (30 seconds / 1 minute),11.0
59,contextual,6 spins * 2 * π,38.69911184307752
61,original,10 rows * 15 columns,151.0
61,lexical,10 rows * 15 columns,151.0
62,original,"($45,000 * 0.2)",9001.0
62,syntactic,"Raise = $45,000 * 0.2",9001.0
62,contextual,"New Salary = $45,000 * (1 + 0.2)",54001.0
65,contextual,2L + 4 = 34,3.0
70,lexical,2 * $2,5.0
70,syntactic,2 * $2,5.0
70,contextual,2 * $2,5.0
74,lexical,Cost of 3 makeup palettes = $45,46.0
74,syntactic,3 * $15,46.0
74,contextual,3 * $15,46.0
77,original,= 200 * 10,2001.0
77,lexical,Total weight of wool = 200 sheep * 10 pounds/sheep,2001.0
77,syntactic,200 * 10,2001.0
77,contextual,Total weight = 200 sheep * 10 pounds/sheep,2001.0
78,original,10 / 2,6.0
78,syntactic,10 * $6,61.0
78,contextual,10 * $6,61.0
79,lexical,4 * 2,9.0
79,syntactic,Blue weights = 4 * 2,9.0
82,lexical,(3 * 180),541.0
82,syntactic,180 stitches * 3,541.0
83,syntactic,2 * 9,19.0
84,original,Calories from squirrels = 6 * 300,1801.0
90,original,(1/3) * 54,19.0
90,contextual,54 * (1/3),19.0
91,lexical,2 * 7,15.0
94,original,Cost of one slice = $5 / 4,2.25
97,original,400 kg / 2,201.0
98,original,200 + 320,521.0
98,lexical,200 + 320,521.0
99,original,5 * 80 * 4,2081.0
99,lexical,5 * 80 * 4,2081.0
99,syntactic,Total rotations for Toby = 5 * 80,401.0
99,contextual,5 * 80,401.0
101,original,Total sum = 8 * 9,73.0
101,syntactic,9 * 8,73.0
102,syntactic,Total number of slices = 3 * 8,25.0
102,contextual,3 * 8,25.0
104,lexical,3lb + 7lb,11.0
107,original,2 hours * 60 minutes/hour,121.0
107,lexical,2 hours + 2 hours + 0.5 hours,5.5
110,lexical,Number of friends = 3 / 2,2.5
113,original,Length of hair after donation = 14 inches - 23 inches,-8.0
113,contextual,23 inches - 14 inches,10.0
114,lexical,Cost of hamburgers = 8 * $4,33.0
114,syntactic,Cost of hamburgers = $32,33.0
114,contextual,8 * $4,33.0
119,original,$1000 - $150 = $985,986.0
119,lexical,$1000 * 0.15,151.0
119,syntactic,1 - 0.15,1.85
119,contextual,1 - 0.15,1.85
122,lexical,(1/3) * 1269,424.0333333333333
124,syntactic,$4 + $2 + $3,10.0
124,contextual,$4 + $2 + $3,10.0
126,syntactic,Total number of guests = 50 + 40,91.0
127,lexical,"$30,000 * 3",90001.0
127,syntactic,"Total Income_1 = $90,000",90001.0
127,contextual,"$30,000 * 3",90001.0
129,lexical,22 + 24,47.0
129,syntactic,22 + 24,47.0
129,contextual,22 + 24,47.0
132,original,$150 * 6,901.0
132,syntactic,6 * $150,901.0
142,original,0.2 * 400,81.0
142,lexical,400 * 0.2,81.0
142,contextual,400 * (1 - 0.2),321.0
151,syntactic,4 inches + 4 inches + 3 inches + 3 inches + 0.5 inches + 0.5 inches,12.5
152,lexical,3 + 2,6.0
152,syntactic,Total number of people = 3 + 2,6.0
160,contextual,1/2 * 10,6.0
163,original,$8000 + $4000,12001.0
163,lexical,$8000 + $4000,12001.0
163,syntactic,Square meters of the first new piece = $8000 / $20,401.0
167,original,3 * 48,145.0
167,syntactic,3 * 48,145.0
167,contextual,3 * 48,145.0
169,original,5 * 50,251.0
169,syntactic,(5 * 50),251.0
169,contextual,5 * 50,251.0
171,contextual,3F = 45,4.0
172,lexical,$80 (food) + $165 (other goods),246.0
172,contextual,Initial cost of one box = $80 (food) + $165 (supplies),246.0
175,original,$1600 * 0.75,1201.0
175,lexical,Expenses = $1600 * 0.75,1201.0
175,syntactic,Living costs = $1600 * 0.75,1201.0
175,contextual,Expenses = $1600 * 0.75,1201.0
179,contextual,3C + P = $150,4.0
182,original,7 + 11,19.0
182,lexical,7 + 11,19.0
184,lexical,Number of winners = 800 * 0.15,121.0
184,syntactic,800 * 0.15,121.0
184,contextual,= 800 * 0.15,121.0
187,original,3P - 1 = 59,4.0
187,lexical,2x - 1 = 59,3.0
187,syntactic,3x - 1 = 59,4.0
189,lexical,200 * 0.45,91.0
189,syntactic,Number of people for Biff = 200 * 0.45,91.0
189,contextual,100% - 45%,56.0
198,original,3 + 3,7.0
200,lexical,Revenue from friends = 10 * $2,21.0
200,syntactic,= 10 * $2,21.0
210,syntactic,20 * 7,141.0
210,contextual,(1/4) * 20,6.0
213,original,4000 gallons / 20 gallons/minute,201.0
213,lexical,20 gallons/minute * 5,101.0
213,syntactic,5 * 20,101.0
213,contextual,Water supplied per minute by all firefighters = 20 gallons * 5,101.0
222,original,$50.00 * 0.8 / 4,13.5
222,lexical,Cost of entrees = $50 * 0.8,41.0
222,contextual,0.8 * $50 = $40,41.0
228,original,1000 mg / 500 mg,3.0
228,lexical,1/6 hours/dose * 24 hours/day,5.0
228,contextual,1 (day) * (24 hours/day) / 6 hours,5.0
234,lexical,5 * $3,16.0
234,syntactic,Total cost = 5 * $3,16.0
234,contextual,5 * $3,16.0
235,original,Difference = $75,76.0
235,lexical,$25 + $90 = $115,116.0
241,original,3 * 12,37.0
241,lexical,Cost of one pizza = $72 / 3,25.0
243,original,20 * 2,41.0
243,lexical,2 * 20,41.0
243,syntactic,20 homes * 2 items/house,41.0
243,contextual,Number of homes on the second day = 2 * 20,41.0
245,original,2 * (1/8),1.25
247,original,5 kg * $2/kg,11.0
247,lexical,5 kg * $2/kg,11.0
247,syntactic,5 kg * $2/kg,11.0
247,contextual,5 kg * $2/kg,11.0
253,original,8 * 2,17.0
254,contextual,= 10 liters/second * 600 seconds (10 minutes),6001.0
259,original,720 points / 24 games,31.0
259,lexical,720 / 24,31.0
260,syntactic,Revenue from T-shirts = $5 * 2,11.0
262,original,1 - 0.02,1.98
262,lexical,1 - 0.02,1.98
268,syntactic,$5 * 5,26.0
272,original,15 - 4 - 6,6.0
273,contextual,10 - 2,9.0
275,syntactic,"Number of steps = 9,000 meters / 3 meters",3001.0
275,contextual,6 * 3 meters,19.0
280,original,15 * 2,31.0
280,lexical,2 * 15,31.0
280,contextual,2 * 15,31.0
288,lexical,1/5,1.2
290,original,= 5 laps * 100 feet/lap,501.0
290,lexical,5 laps * 100 feet/lap,501.0
290,contextual,Total distance = 5 laps * 100 feet/lap,501.0
291,lexical,15/60,1.25
291,syntactic,15 minutes * 60 minutes/hour,901.0
293,original,2 * 30,61.0
294,original,= 40 * $0.8,33.0
294,lexical,= 40 * $0.80,33.0
294,syntactic,= 40 * $0.80,33.0
299,lexical,$1.50 + $4.35 + $12.65,19.5
299,syntactic,"Total cost = $1.50 + $4.35 + $12.65
          = $18.50",19.5
299,contextual,$1.50 + $4.35 + $12.65,19.0
300,original,1.5 * 4,7.0
300,lexical,1.5 * 4,7.0
300,syntactic,1.5 * 4,7.0
304,original,10 televisions/day * 365 days/year,3651.0
304,lexical,= 10 * 365,3651.0
304,syntactic,1 - 0.1,1.9
304,contextual,10 TVs * 365 days,3651.0
307,syntactic,1 (to grandmother) + 10 (to uncle) + 6 (to neighbor),18.0
308,original,60 - 20,41.0
318,lexical,0.1 * 220,23.0
322,original,188 * $4,753.0
322,lexical,Number of adults = 250 - 188,63.0
322,contextual,Adults = 250 - 188,63.0
324,original,13a = 65,14.0
324,syntactic,5x = 65,6.0
328,contextual,2(4) + 15(6),99.0
330,original,(1 - 0.25),1.75
330,lexical,(1 - 0.25),1.75
330,syntactic,1 - 0.25,1.75
330,contextual,1 - 0.25,1.75
333,original,(2 * 4),9.0
333,syntactic,(2 * 4),9.0
337,lexical,Total bedroom area = 400 sq ft * 3 (since there are three bedrooms),1201.0
337,syntactic,400 square feet * 3,1201.0
337,contextual,400 sq ft * 3,1201.0
343,original,480 grains * (2 / 1),961.0
344,syntactic,20 * 0.5 = <calculate>,11.0
345,original,Volume of one carton = 4 inches * 4 inches * 5 inches,65.0
345,lexical,4 inches * 4 inches * 5 inches,65.0
358,lexical,4 * $0.25,2.0
358,syntactic,4 * $0.25 = $1.00,2.0
358,contextual,4 * $0.25,2.0
359,syntactic,35 * $8 * 4,1121.0
359,contextual,= $8/hour * 35 hours/week,281.0
363,original,8 * 5,41.0
363,lexical,8 * $5,41.0
363,contextual,8 * $5,41.0
373,original,Cost per cube = $25 / 80,1.3125
375,original,26 + 15 + 24,66.0
378,syntactic,35 + 25,61.0
379,original,1 - 0.2,1.8
379,lexical,1 - 0.2,1.8
379,syntactic,Total cost = $700 + $200,901.0
379,contextual,0.2 * $400,81.0
382,original,5 * $5,26.0
382,lexical,Cost of bread = 5 * $5,26.0
382,syntactic,5 * $5,26.0
382,contextual,Cost of 5 loaves of bread = $5 * 5,26.0
388,contextual,60 minutes / 12 minutes,6.0
390,lexical,Total toothpaste used per day = 7g,8.0
390,contextual,3g + 2g + 1g + 1g,8.0
392,lexical,Cost of whale books = 9 * $11,100.0
392,syntactic,Cost of books = 9 (books on whales) * $11 (cost per book),100.0
392,contextual,9 * $11,100.0
395,original,Total water for linemen = 12 * 8,97.0
395,lexical,12 * 8,97.0
395,syntactic,Linemen's total consumption = 12 * 8,97.0
395,contextual,12 * 8,97.0
400,original,X = 24 / 8,4.0
400,lexical,2 * 3,7.0
400,syntactic,8 + 3,12.0
401,original,Cost of T-shirts = $8 * 6,49.0
402,lexical,60 * 60),3601.0
406,syntactic,Hourly Earnings = $9 * 8,73.0
407,syntactic,80 * 4,321.0
408,lexical,Value of Gary's gold = 30 grams * $15/gram,451.0
408,syntactic,30 grams * $15/gram,451.0
408,contextual,Value of Gary's gold = $450,451.0
417,original,Cost of hospital bed = $900/day * 3 days,2701.0
417,lexical,$900/day * 3 days,2701.0
417,syntactic,Cost of hospitalization = 3 days * $900/day,2701.0
417,contextual,$900/day * 3 days,2701.0
418,lexical,(1 + 0.3),2.3
418,syntactic,1 + 0.3,2.3
418,contextual,1 + 0.3,2.3
421,original,2 * 6,13.0
426,original,Revenue from adult tickets = 183 * $26,4815.0
426,lexical,$26 / 2 = $13,14.0
428,contextual,= 27 boxes * 10 doughnuts/box,271.0
432,syntactic,50 mph * 2.5 hours,126.0
432,contextual,50 mph * 2.5 hours,126.0
433,lexical,2 bathing suits + 3 evening outfits,6.0
433,syntactic,Total number of trips = 6 * 5,31.0
433,contextual,5 * 2,11.0
436,syntactic,20 minutes * 2,41.0
437,syntactic,$3.75 + $2.40,8.15
437,contextual,Cost of ball + Cost of shorts + Cost of shoes,19.0
441,original,$120 * 1.3,157.0
441,syntactic,Price of one left-handed mouse = $156,157.0
443,syntactic,Cost of cones = 15 * $5,76.0
443,contextual,15 * $5,76.0
446,lexical,"-1,200x = -60,000",-59999.0
449,lexical,10 * $8,81.0
450,syntactic,7 (limpet) + 2 (oyster) + 4 (conch),14.0
451,syntactic,Number of cucumbers = 237 - 60,178.0
452,lexical,180 * (1/6),31.0
452,syntactic,(1/6 * 180),31.0
453,lexical,5 * $2,11.0
453,contextual,Cost of 5 tuna packs = 5 * $2,11.0
456,lexical,65 words per minute - 20 words per minute,46.0
457,lexical,20 * $15,301.0
457,syntactic,Revenue = $300,301.0
457,contextual,$15 * 20,301.0
458,original,Monthly salary for one employee = $12 * 10 * 5 * 4,24001.0
464,syntactic,12 + 28,41.0
465,syntactic,60 mph * 2 hours,121.0
465,contextual,60 mph * 2 hours,121.0
470,lexical,6 + 9 + 3,15.0
473,original,M = E + 0.5E = 1.5E,2.5
473,contextual,(0.5 * 6),4.0
475,syntactic,10 points/enemy * 150 enemies,1501.0
476,contextual,= 5 * 20,101.0
477,contextual,First Job Earnings = 30 hours * $20/hour,601.0
478,lexical,x = 4 +3,8.0
482,original,2x+10 = 340,3.0
482,lexical,2x+10 = 340,3.0
482,contextual,2x+10 = 340,3.0
485,lexical,7 * 6,43.0
486,original,2 * 30,61.0
486,syntactic,Cost of two coffees = $2 * 2,5.0
486,contextual,Total number of coffees = 2 * 30,61.0
491,lexical,Total bandages used = 2 + 3,6.0
493,original,3 * $250 = $750,751.0
493,lexical,MRI cost = 3 * $250,751.0
493,syntactic,MRI cost = 3 * $250,751.0
498,syntactic,Total slices = 5 * 2,11.0
500,original,210 miles / 35 miles per gallon,7.0
500,contextual,210 miles + 54 miles,265.0
